Price,Area,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Stadium
14800000,1800,Sector 23 Dwarka,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
12500000,600,Sector 12 Dwarka,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
3300000,385,Sector 23 Dwarka,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
110000000,2500,West End,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0.0,1.0,0.0,0.0,0,0,0,1.0
5000000,1000,Dwarka Mor,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
17500000,1300,Sector 9 Rohini,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
3600000,1050,Mundka,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0,0,0,0.0
16500000,1600,Sector 6 Dwarka,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
10500000,1200,Sector 10 Dwarka,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,1,0,1.0,0.0,0.0,0.0,0,0,0,0.0
6000000,1000,Uttam Nagar,3,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0,0,1,1.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
15000000,1350,Sarita Vihar,2,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,0,0,0.0
2500000,435,Uttam Nagar,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,,0.0,0,0,0,0.0
5800000,900,Dwarka Mor,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
15800000,1800,Sector 7 Dwarka,4,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,1.0,0.0,0.0,0.0,0,0,0,0.0
15400000,1500,Sector 6 Dwarka,3,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0,0,0,0.0
13500000,1800,,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
6500000,1000,Sector 23 Rohini,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
12500000,1300,Mayur Vihar II,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
11000000,1000,Sector 24 Rohini,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
12500000,1550,Sector 11 Dwarka,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,1,0.0,0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
14800000,1800,Sector 23 Dwarka,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0.0,,0.0,0.0,0,0,0,0.0
12500000,600,Sector 12 Dwarka,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,
3300000,385,Sector 23 Dwarka,1,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
110000000,2500,West End,4,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1,0,0.0,1.0,0.0,0.0,0,0,0,1.0
5000000,1000,Dwarka Mor,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
17500000,1300,Sector 9 Rohini,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
3600000,1050,Mundka,3,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0,0,0,
16500000,1600,Sector 6 Dwarka,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
12500000,1000,Sector 13 Rohini,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
2750000,630,Jamia Nagar,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0,0,0,0.0
23500000,2000,Sector 19 Dwarka,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.0,0.0,,0.0,0,0,0,
16200000,1600,Sector 10 Dwarka,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
13500000,1350,Sector 24 Rohini,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,,0.0,0.0,0,0,0,0.0
5500000,1000,Uttam Nagar,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,
5500000,1000,Dwarka Mor,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,,0.0,0.0,0.0,0,0,0,0.0
3621000,900,Uttam Nagar,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
9200000,1200,Sector 17 Dwarka,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
10400000,1125,Sector 23 Rohini,3,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
2350000,415,Sector 23 Dwarka,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,,0.0,0.0,0.0,0,0,0,0.0
8000000,1500,,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
3500000,675,Bindapur,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
14800000,1750,Sector-18 Dwarka,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
8500000,1200,Dwarka Mor,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
45000000,4600,Sector-18 Dwarka,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
17500000,1650,Vasant Kunj,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
2700000,540,Dwarka Mor,2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0,0,0,0.0
4999000,950,Dwarka Mor,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,,0.0,0,0,0,0.0
4699000,850,Dwarka Mor,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,,0.0,0.0,0.0,0,0,0,0.0
3800000,450,Shastri Nagar,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
15000000,1551,Sector-8 Rohini,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
3000000,650,Jamia Nagar,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0.0
5100000,900,Sector 9 Dwarka,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,0,0,0.0
2350000,550,Uttam Nagar,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
5499000,900,Dwarka Mor,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
12800000,1843,Shanti Park Dwarka,3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1.0,0.0,0.0,0.0,0,0,0,
2500000,630,Govindpuri,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0,0,0,0.0
27500000,3000,Sector 22 Dwarka,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0.0,0,,0.0,0.0,0.0,1.0,0.0,0.0,,1,0,1.0,0.0,0.0,0.0,0,0,0,0.0
3600000,675,Matiala,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
45000000,1300,Saket,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0,1,0.0,1.0,0.0,1.0,1,1,0,1.0
5500000,1000,Uttam Nagar,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
5500000,900,Mahavir Enclave,3,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
16800000,1700,Sector 6 Dwarka,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0.0,0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,1,0,1.0,0.0,0.0,0.0,0,0,0,
3900000,900,Dwarka Mor,3,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
4400000,1000,Dwarka Mor,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0,0,0,0.0
15000000,1200,Sector 23 Dwarka,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,0.0,1.0,1,1,0,1.0
6500000,700,Shastri Nagar,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
2900000,630,Burari,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,0.0,0,0,0,0.0
2100000,540,Burari,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
6200000,1200,Shahdara,3,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
4011000,1000,Uttam Nagar,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
5300000,850,Babarpur,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,
13500000,1500,Sector 19 Dwarka,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.0,,0.0,0.0,0,0,0,0.0
2400000,750,Khanpur,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
14500000,1650,,3,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,1,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
4500000,810,Mansa Ram Park,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0,0,0,0.0
16000000,1250,Sector 13 Rohini,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
6400000,600,Sector-18 Dwarka,1,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
35000000,3800,Sector 12 Dwarka,5,1.0,,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,1,1.0,0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
10000000,1000,Sector 24 Rohini,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0.0,,0.0,0.0,0,0,0,0.0
2300000,380,Sector 23 Dwarka,1,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
6900000,600,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0
17500000,2250,Green Park,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,
16500000,1200,Kalkaji,3,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0,0,0,0.0
3000000,645,Jamia Nagar,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
